E:\ACV_Classification\venv\Scripts\python.exe E:\ACV_Classification\main.py
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet101_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet101_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch: [0][0/3541]	Batch Time 1.071 (1.071)	Data Load Time 0.057 (0.057)	Loss 5.0753 (5.0753)	Accuracy 0.000 (0.000)
Epoch: [0][100/3541]	Batch Time 0.125 (0.135)	Data Load Time 0.030 (0.030)	Loss 2.9090 (3.3810)	Accuracy 25.000 (22.339)
Epoch: [0][200/3541]	Batch Time 0.125 (0.131)	Data Load Time 0.030 (0.030)	Loss 2.8323 (2.9566)	Accuracy 40.625 (29.291)
Epoch: [0][300/3541]	Batch Time 0.126 (0.129)	Data Load Time 0.029 (0.030)	Loss 2.3734 (2.7127)	Accuracy 37.500 (34.199)
Epoch: [0][400/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.032 (0.030)	Loss 2.1051 (2.5675)	Accuracy 53.125 (37.032)
Epoch: [0][500/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.031 (0.030)	Loss 1.8398 (2.4576)	Accuracy 50.000 (39.009)
Epoch: [0][600/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.032 (0.030)	Loss 2.2758 (2.3720)	Accuracy 43.750 (40.526)
Epoch: [0][700/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.032 (0.030)	Loss 2.1087 (2.3044)	Accuracy 50.000 (41.704)
Epoch: [0][800/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.031 (0.030)	Loss 1.6396 (2.2528)	Accuracy 50.000 (42.576)
Epoch: [0][900/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.034 (0.030)	Loss 1.8935 (2.2076)	Accuracy 37.500 (43.427)
Epoch: [0][1000/3541]	Batch Time 0.128 (0.128)	Data Load Time 0.032 (0.031)	Loss 1.6218 (2.1674)	Accuracy 53.125 (44.215)
Epoch: [0][1100/3541]	Batch Time 0.127 (0.128)	Data Load Time 0.031 (0.031)	Loss 1.9128 (2.1346)	Accuracy 50.000 (44.766)
Epoch: [0][1200/3541]	Batch Time 0.125 (0.128)	Data Load Time 0.028 (0.031)	Loss 1.5957 (2.1064)	Accuracy 65.625 (45.277)
Epoch: [0][1300/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.033 (0.031)	Loss 1.6872 (2.0813)	Accuracy 46.875 (45.681)
Epoch: [0][1400/3541]	Batch Time 0.126 (0.128)	Data Load Time 0.030 (0.031)	Loss 1.1365 (2.0562)	Accuracy 59.375 (46.215)
Epoch: [0][1500/3541]	Batch Time 0.128 (0.128)	Data Load Time 0.032 (0.031)	Loss 2.0017 (2.0360)	Accuracy 46.875 (46.567)
Epoch: [0][1600/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.032 (0.031)	Loss 1.9546 (2.0187)	Accuracy 56.250 (46.924)
Epoch: [0][1700/3541]	Batch Time 0.126 (0.128)	Data Load Time 0.030 (0.031)	Loss 1.8971 (2.0008)	Accuracy 56.250 (47.235)
Epoch: [0][1800/3541]	Batch Time 0.126 (0.128)	Data Load Time 0.029 (0.031)	Loss 1.8503 (1.9864)	Accuracy 46.875 (47.527)
Epoch: [0][1900/3541]	Batch Time 0.131 (0.128)	Data Load Time 0.034 (0.031)	Loss 1.5339 (1.9748)	Accuracy 62.500 (47.738)
Epoch: [0][2000/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.033 (0.031)	Loss 2.0180 (1.9620)	Accuracy 46.875 (47.989)
Epoch: [0][2100/3541]	Batch Time 0.128 (0.128)	Data Load Time 0.031 (0.031)	Loss 1.7586 (1.9497)	Accuracy 53.125 (48.251)
Epoch: [0][2200/3541]	Batch Time 0.128 (0.128)	Data Load Time 0.032 (0.031)	Loss 1.6035 (1.9387)	Accuracy 62.500 (48.475)
Epoch: [0][2300/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.033 (0.031)	Loss 1.4676 (1.9267)	Accuracy 50.000 (48.713)
Epoch: [0][2400/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.032 (0.031)	Loss 2.1778 (1.9159)	Accuracy 34.375 (48.928)
Epoch: [0][2500/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.035 (0.032)	Loss 1.2289 (1.9054)	Accuracy 59.375 (49.113)
Epoch: [0][2600/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.034 (0.032)	Loss 1.9376 (1.8956)	Accuracy 43.750 (49.318)
Epoch: [0][2700/3541]	Batch Time 0.131 (0.128)	Data Load Time 0.033 (0.032)	Loss 1.6357 (1.8900)	Accuracy 59.375 (49.410)
Epoch: [0][2800/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.033 (0.032)	Loss 1.8815 (1.8815)	Accuracy 46.875 (49.593)
Epoch: [0][2900/3541]	Batch Time 0.130 (0.128)	Data Load Time 0.034 (0.032)	Loss 1.3702 (1.8737)	Accuracy 59.375 (49.718)
Epoch: [0][3000/3541]	Batch Time 0.129 (0.128)	Data Load Time 0.033 (0.032)	Loss 1.4506 (1.8665)	Accuracy 59.375 (49.869)
Epoch: [0][3100/3541]	Batch Time 0.130 (0.129)	Data Load Time 0.034 (0.032)	Loss 1.7272 (1.8595)	Accuracy 53.125 (50.000)
Epoch: [0][3200/3541]	Batch Time 0.131 (0.129)	Data Load Time 0.035 (0.032)	Loss 2.2250 (1.8531)	Accuracy 31.250 (50.120)
Epoch: [0][3300/3541]	Batch Time 0.131 (0.129)	Data Load Time 0.036 (0.032)	Loss 1.6246 (1.8453)	Accuracy 59.375 (50.270)
Epoch: [0][3400/3541]	Batch Time 0.133 (0.129)	Data Load Time 0.037 (0.032)	Loss 1.4795 (1.8386)	Accuracy 59.375 (50.385)
Epoch: [0][3500/3541]	Batch Time 0.131 (0.129)	Data Load Time 0.035 (0.033)	Loss 1.5394 (1.8326)	Accuracy 50.000 (50.496)
Validation: [0/157]	Batch Time 0.151 (0.151)	Loss 1.9546 (1.9546)	Accuracy 46.875 (46.875)
Validation: [100/157]	Batch Time 0.129 (0.128)	Loss 1.6372 (1.4883)	Accuracy 56.250 (58.601)

 * LOSS - 1.479, ACCURACY - 58.539

